_id,Center,test_date,physics,chemistry,resultstatus,pp_totalmarks,Full_name,maths_new,new_total,name,Phone,Password
577,Manhattan,2024-07-14,5,8,Present,180,Qiana Levan,18,31,Susan,1365588841,Sus8841
578,Manhattan,2024-07-14,5,8,Present,180,Risa Magwood,0,13,Jeremy,8927436016,Jer6016
579,Brooklyn,2024-07-14,,,Absent,180,Hortense Chattin,0,0,Daniel,9642382914,Dan2914
580,Brooklyn,2024-07-14,,,Absent,180,Lee Esses,0,0,Meli,6379145676,Mel5676
581,Manhattan,2024-07-14,126,101,Present,720,Mohamed Bolles,331,558,Nader,9808847400,Nad7400
582,Staten Island,2024-07-14,,,Absent,720,Merrill Ballenger,0,0,Carmel,4354807460,Car7460
583,Brooklyn,2024-07-28,,,Absent,75,Deeann Ashburn,0,0,Mary,9775453052,Mar3052
584,Queens,2024-05-19,18,-4,Present,300,Perry Viera,17,31,Jason,6978155842,Jas5842
585,Manhattan,2024-07-28,5,0,Present,300,Joyce Sciacca,10,15,Keenan & Emily,9103321564,Kee1564
586,Brooklyn,2024-07-28,7,7,Present,75,Clayton Shealy,21,35,Samuel,1175596953,Sam6953
587,Manhattan,2024-08-25,45,30,Present,300,Nada Sheilds,5,80,Orlando,154708637,Orl8637
588,Brooklyn,2024-06-16,,,Absent,300,Deanna Rome,0,0,Yana,4468024360,Yan4360
589,Brooklyn,2024-08-04,,,Absent,144,Greta Sartain,0,0,Pepe,1498866127,Pep6127
592,Manhattan,2024-08-04,12,15,Present,144,Franchesca Centers,11,38,Carmel,8078752747,Car2747
593,Manhattan,2024-08-11,,,Absent,720,Myrtice Lonzo,0,0,Boubacar And Pattee,6223738655,Bou8655
594,Brooklyn,2024-09-08,150,142,Present,720,Santina Cybulski,360,652,Kestrel,6808002517,Kes2517
595,Manhattan,2024-07-28,,,Absent,720,Kayleigh Cartier,0,0,Lisa,1749724664,Lis4664
596,Manhattan,2024-07-21,,,Absent,75,Dori Reasoner,0,0,Eziah,6347106478,Ezi6478
597,Brooklyn,2024-08-24,,,Absent,75,Raymundo Alcorn,0,0,Deborah,9215613066,Deb3066
600,Manhattan,2024-06-30,,,Absent,300,Delores Gullick,0,0,Anton,7244059825,Ant9825
601,Brooklyn,2024-08-24,,,Absent,720,Cuc Kossman,0,0,Rosalynn,2294690865,Ros0865
602,Manhattan,2024-07-14,2,-1,Present,180,Lakendra Bobby,-1,0,Deirdre,7966055544,Dei5544
603,Manhattan,2024-08-24,,,Absent,720,Oneida Haberman,0,0,Deirdre,8974155548,Dei5548
604,Brooklyn,2024-07-21,32,87,Present,720,Ghislaine Southwick,311,430,Stefania,9378742979,Ste2979
605,Manhattan,2024-06-30,,,Absent,300,Ardis Overbey,0,0,Gaya,2946833644,Gay3644
606,Brooklyn,2024-08-18,,,Absent,180,Fermin Work,0,0,Mary,3621940335,Mar0335
607,Brooklyn,2024-08-24,,,Absent,180,Saundra Voshell,0,0,Christopher,5974475153,Chr5153
609,Staten Island,2024-08-24,,,Absent,180,Kortney Shear,0,0,Marina,5817751167,Mar1167
610,Brooklyn,2024-08-04,,,Absent,300,Luanna Gabler,0,0,Ryan,2400392223,Rya2223
611,Brooklyn,2024-08-11,,,Absent,300,Danette Lares,0,0,Marylyn,8428940363,Mar0363
612,Manhattan,2024-08-25,8,-2,Present,180,Melisa Munday,0,6,Daniel,2140551906,Dan1906
613,Brooklyn,2024-06-02,149,140,Present,720,Myriam Roberie,355,644,Lady Jay,2504415956,Lad5956
614,Manhattan,2024-06-30,40,10,Present,300,Izetta Policastro,30,80,Gordon,9178576225,Gor6225
615,Manhattan,2024-06-30,28,-2,Present,300,Renata Fettig,53,79,Raven,1234563522,Rav3522
616,Brooklyn,2024-06-02,149,138,Present,720,Les Lindsey,345,632,Marceline,4496769127,Mar9127
617,Manhattan,2024-06-23,,,Absent,720,Harris Descoteaux,0,0,Tim,8343327583,Tim7583
618,Manhattan,2024-07-07,,,Absent,300,Jazmine Emery,0,0,Carol,7632869570,Car9570
619,Brooklyn,2024-07-14,34,38,Present,720,Sherrie Pendelton,123,195,Derrick,6769488030,Der8030
620,Brooklyn,2024-06-02,88,99,Present,720,Zaida Romney,330,517,Civan,1312239602,Civ9602
621,Bronx,2024-06-02,,,Absent,720,Florencio Coleman,0,0,Lori,9111984891,Lor4891
622,Manhattan,2024-06-02,87,78,Present,720,Velva Bing,311,476,Blanca,9745785525,Bla5525
623,Manhattan,2024-06-23,44,39,Present,300,Ying Scheetz,17,100,Mark,8004985860,Mar5860
624,Manhattan,2024-06-30,10,2,Present,300,Keli Shen,0,12,Roberto,4079509470,Rob9470
625,Brooklyn,2024-06-23,91,109,Present,720,Mitch Grajeda,304,504,Dee,7350594404,Dee4404
626,Manhattan,2024-07-14,,,Absent,720,Bryon Furness,0,0,Selma,665223347,Sel3347
627,Manhattan,2024-06-30,,,Present,75,Tamie Bertucci,59,59,Michael,3525214061,Mic4061
628,Queens,2024-07-07,75,100,Present,300,Shaniqua Pulido,80,255,Melody,5098034969,Mel4969
629,Manhattan,2024-07-07,,,Absent,300,Adina Farris,0,0,Tiffany,8245004449,Tif4449
630,Manhattan,2024-06-30,,,Absent,300,Landon Constantino,0,0,William,4803441902,Wil1902
631,Queens,2024-06-23,,,Absent,720,Russell Batres,0,0,John,8056521186,Joh1186
632,Brooklyn,2024-07-14,,,Absent,720,Leesa Rieke,0,0,Bertie,4832841315,Ber1315
633,Manhattan,2024-06-23,41,1,Present,720,Hank Noblitt,304,346,Olan,9732197802,Ola7802
634,Manhattan,2024-06-30,,,Present,75,Priscilla Lamphere,47,47,Dan,2906225357,Dan5357
635,Manhattan,2024-06-30,,,Present,75,Candida Custis,58,58,Blue,5414895782,Blu5782
636,Brooklyn,2024-06-23,10,30,Present,720,Karon Wilmes,142,182,Triny,8257654527,Tri4527
637,Brooklyn,2024-06-02,84,56,Present,720,Prudence Cutler,272,412,Nick And No̩mie,5065532462,Nic2462
638,Manhattan,2024-06-09,,,Absent,75,Myrl Kandoll,0,0,Juvie,3944827533,Juv7533
639,Manhattan,2024-07-07,41,67,Present,300,Lissa Andrews,12,120,Liz,6729638052,Liz8052
640,Manhattan,2024-07-07,38,43,Present,300,Mikel Ranger,65,146,Jacqueline,2287886477,Jac6477
641,Manhattan,2024-07-07,67,27,Present,300,Yuri Tiller,46,140,Ashley & Nir,706080404,Ash0404
642,Queens,2024-07-14,49,0,Present,720,Jonas Reilley,221,270,Nancy,4389318024,Nan8024
643,Manhattan,2024-06-02,61,31,Present,720,Santina Sherlock,307,399,Austin,6564547992,Aus7992
644,Manhattan,2024-07-14,,,Absent,720,Corrine Snelling,0,0,Jay,589986883,Jay6883
645,Brooklyn,2024-06-16,19,40,Present,300,Kara Wierenga,12,71,Li,6129318363,Li8363
646,Brooklyn,2024-07-14,76,111,Present,720,Noriko Arroyo,322,509,Todd,9462886482,Tod6482
647,Brooklyn,2024-06-23,64,32,Present,720,Caron Brasch,170,266,Joseph,6194401626,Jos1626
648,Brooklyn,2024-06-23,48,64,Present,720,Geoffrey Follmer,236,348,Jessica,411992678,Jes2678
649,Brooklyn,2024-06-23,,,Absent,720,Clark Vasser,0,0,Ruari,8373002850,Rua2850
650,Manhattan,2024-06-30,,,Present,75,Wanetta Bold,70,70,Mike,7668599169,Mik9169
651,Brooklyn,2024-06-02,59,25,Present,720,Maricela Damron,288,372,Jessica,3339988524,Jes8524
652,Brooklyn,2024-06-30,,,Present,75,Lynsey Stinchcomb,57,57,Lauryn,7050785598,Lau5598
653,Brooklyn,2024-06-02,,,Absent,720,Lovetta Kline,0,0,Alon,7238868751,Alo8751
654,Brooklyn,2024-06-02,68,57,Present,720,Gracia Moone,251,376,Andy,2153324611,And4611
655,Manhattan,2024-06-23,,,Absent,720,Loma Shears,0,0,Baron,8354409752,Bar9752
656,Bronx,2024-06-16,,,Absent,300,Adelle Philbrick,0,0,Victor,1662786636,Vic6636
657,Brooklyn,2024-07-07,,,Absent,720,Clifford Poehler,0,0,Al-,4668350825,Al-0825
658,Manhattan,2024-06-02,27,4,Present,720,Sun Johnsrud,171,202,Jaidev,9566169905,Jai9905
659,Brooklyn,2024-07-14,61,-2,Present,720,Jenell Marro,263,322,Shelley,4544403302,She3302
660,Manhattan,2024-06-02,45,65,Present,720,Mendy Strayer,300,410,Jerry,3465961414,Jer1414
661,Queens,2024-06-23,19,17,Present,720,Harriette Ing,137,173,Rafael,3407323787,Raf3787
662,Manhattan,2024-07-07,,,Absent,300,Veola Domenech,0,0,Jens,3167972812,Jen2812
663,Brooklyn,2024-07-07,85,95,Present,300,Denisha Chabot,95,275,The Box House Hotel,724910542,The0542
664,Manhattan,2024-06-23,,,Absent,720,Corrina Carollo,0,0,West Village,9912778712,Wes8712
665,Manhattan,2024-06-09,,,Absent,75,Cassandra Fike,0,0,Andy,6897862007,And2007
666,Manhattan,2024-07-07,70,49,Present,300,Johnson Pinedo,43,162,Karina,978171903,Kar1903
667,Brooklyn,2024-07-14,17,32,Present,720,Emery Gessner,145,194,Fred,7901654691,Fre4691
668,Brooklyn,2024-06-23,,,Absent,720,Gaynelle Slaton,0,0,Ben,2939644948,Ben4948
669,Brooklyn,2024-07-07,42,28,Present,300,Alysia Hipps,23,93,Kyle,1972201574,Kyl1574
670,Manhattan,2024-06-02,42,97,Present,720,Deeann Keeler,267,406,Christy,8633446641,Chr6641
671,Manhattan,2024-07-14,61,31,Present,720,Lilliam Harvard,205,297,Yvette,1028498043,Yve8043
672,Manhattan,2024-05-19,49,36,Present,300,Shara Syed,47,132,Yvette,8167280929,Yve0929
673,Manhattan,2024-06-09,,,Absent,75,Lorinda Froman,0,0,Rhona,4555990249,Rho0249
674,Brooklyn,2024-08-11,,,Absent,300,Bonita Briganti,0,0,Anne,1934851105,Ann1105
675,Manhattan,2024-07-14,108,87,Present,720,Kendall Simons,316,511,Carol,9742848918,Car8918
676,Manhattan,2024-08-24,10,11,Present,75,Lakenya Seabrooks,42,63,Tunji,3962300712,Tun0712
677,Manhattan,2024-07-07,,,Absent,300,Jammie Gourlay,0,0,Chris,6786969084,Chr9084
678,Brooklyn,2024-07-14,35,10,Present,720,Arlean Juergens,108,153,Cynthia,2836554053,Cyn4053
679,Brooklyn,2024-07-14,,,Absent,180,Boyce Wehmeyer,0,0,The Box House Hotel,2842778159,The8159
680,Brooklyn,2024-07-21,0,0,Present,720,Sindy Galyean,0,0,The Box House Hotel,5479406920,The6920
681,Brooklyn,2024-08-24,0,0,Present,180,Louis Bullard,0,0,The Box House Hotel,7923458257,The8257
682,Brooklyn,2024-07-28,27,18,Present,300,Vita Noonkester,52,97,Olia,7456089933,Oli9933
683,Manhattan,2024-07-21,,,Present,75,Lakeesha Lesniak,46,46,G,6947939585,G9585
685,Brooklyn,2024-07-28,,,Absent,720,Heidi Abadie,0,0,The Box House Hotel,3726486055,The6055
688,Brooklyn,2024-08-04,2,15,Present,144,Patience Marley,10,27,The Box House Hotel,8271339032,The9032
689,Brooklyn,2024-07-21,14,41,Present,720,Lily Wolter,214,269,The Box House Hotel,1923961695,The1695
690,Brooklyn,2024-07-21,,,Absent,720,Robbyn Diem,0,0,The Box House Hotel,5845130830,The0830
691,Brooklyn,2024-07-21,,,Absent,720,Odette Laclair,0,0,The Box House Hotel,4925376348,The6348
692,Brooklyn,2024-07-28,166,161,Present,720,Charlsie Stern,331,658,The Box House Hotel,3450573030,The3030
693,Brooklyn,2024-08-04,,,Absent,75,Anne Dresel,0,0,The Box House Hotel,1181091956,The1956
694,Queens,2024-08-07,,,Absent,180,Josefina Smiley,0,0,Sharma,3363246018,Sha6018
695,Brooklyn,2024-07-28,,,Absent,720,Lisette Mehr,0,0,The Box House Hotel,5339920470,The0470
696,Brooklyn,2024-08-24,,,Absent,180,Sherryl Siers,0,0,Stephanie,1411760837,Ste0837
697,Brooklyn,2024-08-24,80,146,Present,720,Velia Brayman,331,557,Roger,61781303,Rog1303
698,Brooklyn,2024-08-24,,,Absent,180,Lyn Pan,0,0,Bree,5370561366,Bre1366
699,Brooklyn,2024-07-28,140,112,Present,720,Caitlin Bessey,345,597,Antonio,4152056314,Ant6314
700,Manhattan,2024-08-24,,,Absent,180,Cristine Roder,0,0,Claudia,8135803528,Cla3528
701,Queens,2024-08-24,,,Absent,75,Claire Sward,0,0,Cristina,4191791908,Cri1908
702,Manhattan,2024-06-09,7,11,Present,75,Adelle Kovach,19,37,Janine,5684976868,Jan6868
703,Brooklyn,2024-07-21,,,Absent,75,Melissa Kear,0,0,Pamela,6275102500,Pam2500
704,Brooklyn,2024-08-25,15,13,Present,180,Rosetta Flagg,25,53,Jaime,4872950487,Jai0487
706,Brooklyn,2024-08-24,10,11,Present,75,Lang Silver,36,57,Daniel,4659003292,Dan3292
707,Brooklyn,2024-07-14,,,Absent,180,Regina Lentine,0,0,S,9287230079,S0079
708,Brooklyn,2024-07-14,27,21,Present,180,Viki Cartledge,5,53,Annie,1074579398,Ann9398
709,Queens,2024-08-25,25,13,Present,300,Brett Aasen,10,48,Kim,6573737525,Kim7525
710,Manhattan,2024-05-19,29,30,Present,360,Glynda Maine,95,154,Chad,5466031573,Cha1573
711,Manhattan,2024-08-25,3,6,Present,300,Joane Hasler,17,26,Andrea,7982853127,And3127
712,Manhattan,2024-08-25,66,49,Present,300,Sook Varnell,49,164,Adrienne,96073216,Adr3216
713,Staten Island,2024-07-28,,,Absent,300,Priscila Leanos,0,0,Marina,805720482,Mar0482
714,Staten Island,2024-07-28,10,8,Present,300,Evan Deslauriers,13,31,Marina,5193268195,Mar8195
715,Staten Island,2024-05-19,57,37,Present,300,Luz Huddleston,44,138,Marina,7215933098,Mar3098
716,Brooklyn,2024-06-23,5,5,Present,720,Joann Montag,15,25,Alexander,8213677881,Ale7881
717,Manhattan,2024-07-28,12,10,Present,75,Jeannine Pfeil,32,54,Ro,6384995851,Ro5851
718,Brooklyn,2024-05-19,28,19,Present,300,Raina Batdorf,23,70,Christine,5862034946,Chr4946
719,Manhattan,2024-06-09,9,13,Present,75,Madge Lossing,27,49,Keiko,477823546,Kei3546
720,Manhattan,2024-08-07,,,Absent,180,Vannessa Lopez,0,0,Liah,7713472223,Lia2223
721,Manhattan,2024-08-11,1,4,Present,300,Irvin Bumbrey,2,7,Lindsey,4207941502,Lin1502
722,Manhattan,2024-08-11,24,37,Present,300,Candida Salinas,-2,59,Nadya,163223471,Nad3471
723,Manhattan,2024-07-21,67,60,Present,720,Natalya Bremer,240,367,Lauren,236124361,Lau4361
724,Brooklyn,2024-07-21,111,79,Present,720,Shalon Brook,236,426,Wade,4114833818,Wad3818
725,Manhattan,2024-08-24,,,Absent,180,Kathaleen Clepper,0,0,Juliana,8968243386,Jul3386
726,Manhattan,2024-07-21,68,37,Present,720,Fausto Dionne,220,325,West Village,3395378061,Wes8061
729,Manhattan,2024-08-24,,,Absent,180,Deneen Wind,0,0,Nicole,8955094428,Nic4428
730,Brooklyn,2024-07-14,13,19,Present,180,Bradly Ratchford,13,45,Shaun,2085273604,Sha3604
731,Queens,2024-07-14,6,0,Present,180,Gayle Modica,-1,5,Joanne,4314759704,Joa9704
732,Manhattan,2024-06-30,9,-6,Present,300,Miles Wyrick,20,23,C,978216179,C6179
733,Manhattan,2024-06-02,95,100,Present,720,Hilton Cousin,360,555,Allan,8032537312,All7312
734,Brooklyn,2024-06-23,40,0,Present,720,Porsha Adcock,221,261,Leo,4773342680,Leo2680
735,Brooklyn,2024-05-19,39,53,Present,300,Renita Glavin,23,115,Adolfo,3788272264,Ado2264
736,Manhattan,2024-06-30,,,Absent,300,Hannelore Yetter,0,0,Akiko,9587981542,Aki1542
737,Manhattan,2024-06-09,11,10,Present,75,Norine Cane,41,62,Sandra,6074162021,San2021
738,Manhattan,2024-06-30,,,Absent,300,Faustina Szabo,0,0,Jen,7306562759,Jen2759
739,Brooklyn,2024-06-02,65,40,Present,720,Jeraldine Luque,320,425,Jill,5580675173,Jil5173
740,Manhattan,2024-06-16,,,Absent,300,Elza Prager,0,0,Brian,5221060108,Bri0108
741,Manhattan,2024-06-02,105,115,Present,720,Jodee Grimm,260,480,Brian,7266724426,Bri4426
742,Brooklyn,2024-06-23,44,36,Present,300,Alba Mcpherson,30,110,Elena,2405054514,Ele4514
743,Manhattan,2024-06-30,,,Absent,300,Tinisha Addington,0,0,Asia Joanna,9820691996,Asi1996
744,Manhattan,2024-06-02,37,14,Present,720,Myrtice Andino,272,323,Drew,3415306870,Dre6870
745,Manhattan,2024-06-16,52,20,Present,300,Kathern Gebo,40,112,Roberto  Mike,3177601392,Rob1392
746,Manhattan,2024-07-07,147,57,Present,720,Almeta Razo,251,455,Fred,5300808409,Fre8409
747,Queens,2024-06-23,35,75,Present,720,Jared Threlkeld,240,350,Jocelin,5202988635,Joc8635
748,Bronx,2024-06-23,7,12,Present,75,Lashawna Hough,30,49,Clara,464579887,Cla9887
749,Brooklyn,2024-05-19,,,Absent,300,Kristi Tow,0,0,Janice,3512612334,Jan2334
750,Manhattan,2024-06-23,49,26,Present,720,Luther Lefevers,211,286,Vivianne,9477240643,Viv0643
751,Manhattan,2024-07-14,43,9,Present,720,Wilmer Larkin,255,307,Eyal And Amy,5196564715,Eya4715
752,Brooklyn,2024-06-23,,,Absent,720,Cammy Scalf,0,0,Vishal,805435893,Vis5893
753,Manhattan,2024-06-30,,,Absent,75,Deedee Prokop,0,0,Sergio,8590927043,Ser7043
754,Brooklyn,2024-06-23,101,69,Present,720,Leandra Allinder,325,495,Antoinette,4086187980,Ant7980
755,Queens,2024-06-02,10,19,Present,720,Terrilyn Maly,181,210,M,8356882291,M2291
756,Brooklyn,2024-06-30,,,Present,75,Riley Wimbish,57,57,Chavisa,5060220348,Cha0348
757,Queens,2024-06-23,29,25,Present,720,Merrilee Shook,174,228,Janina,1024221428,Jan1428
758,Brooklyn,2024-06-23,,,Absent,720,Filiberto Alverson,0,0,Juliet,9299100512,Jul0512
759,Manhattan,2024-06-02,,,Absent,720,Elyse Kendig,0,0,Cameron,7787879856,Cam9856
760,Brooklyn,2024-06-09,9,13,Present,75,Alysha Ohern,34,56,Javier Pedraza,7865642161,Jav2161
761,Brooklyn,2024-05-19,,,Absent,300,Armando Fortney,0,0,Javier Pedraza,3068873872,Jav3872
762,Brooklyn,2024-06-02,117,52,Present,720,Lavona Shoup,330,499,Kevin,3892410181,Kev0181
763,Brooklyn,2024-06-02,8,32,Present,720,Quentin Wroten,286,326,Lex,2976039216,Lex9216
764,Brooklyn,2024-07-07,0,0,Present,720,Coral Bow,142,142,Lex,2280953223,Lex3223
765,Manhattan,2024-06-02,,,Absent,720,Lorrie Bradley,0,0,James,5269259900,Jam9900
766,Manhattan,2024-06-30,,,Present,75,Eliana Zych,60,60,Max,4219447347,Max7347
767,Manhattan,2024-06-30,,,Absent,75,Brigida Edgar,0,0,Aj,503447761,Aj7761
768,Manhattan,2024-07-07,63,7,Present,300,Kourtney Fannin,41,111,Arthur,2197100202,Art0202
769,Manhattan,2024-06-30,,,Present,75,Peg Mcelyea,53,53,M,928834860,M4860
770,Brooklyn,2024-06-02,,,Absent,720,Elizabet Bodine,0,0,Diana,8439094273,Dia4273
771,Brooklyn,2024-06-30,0,25,Present,300,Fannie Bostic,16,41,Valerie,3404249578,Val9578
772,Brooklyn,2024-07-07,,,Absent,300,Carolann Dupler,0,0,Elizabeth,245318541,Eli8541
773,Manhattan,2024-05-19,71,75,Present,360,Devora Mcguire,167,313,West Village,9259480674,Wes0674
774,Manhattan,2024-06-09,7,7,Present,75,Myrtie Splawn,30,44,Delia,2337094429,Del4429
775,Manhattan,2024-06-02,90,118,Present,720,Riva Cha,329,537,Stacia,8577897311,Sta7311
776,Brooklyn,2024-06-30,,,Absent,75,Albert Redd,0,0,Andrew,5564175249,And5249
777,Brooklyn,2024-07-07,-5,33,Present,720,Harley Mcmeen,220,248,Aaron,6854010450,Aar0450
778,Manhattan,2024-05-19,33,-5,Present,300,Malika Alanis,57,85,Catherine,1106583494,Cat3494
779,Brooklyn,2024-06-23,58,26,Present,720,Arcelia Eubanks,211,295,Kwab,9931614440,Kwa4440
780,Brooklyn,2024-05-19,15,16,Present,300,Mandie Benito,28,59,Dena,4247138832,Den8832
781,Brooklyn,2024-06-30,,,Absent,300,Terry Cleary,0,0,Chauncey,1710303295,Cha3295
782,Manhattan,2024-06-09,,,Absent,75,Nicolas China,0,0,Allan,4233370226,All0226
783,Brooklyn,2024-06-02,,,Absent,720,Claud Linley,0,0,Rosa,8883521345,Ros1345
784,Manhattan,2024-06-23,,,Absent,720,Rae Luciani,0,0,Jim,8389694729,Jim4729
785,Brooklyn,2024-06-30,23,1,Present,300,Ines Scalf,25,49,Michelle,1043052684,Mic2684
786,Manhattan,2024-07-07,65,141,Present,720,Tera Durante,305,511,Bia,6964002746,Bia2746
787,Queens,2024-07-07,,,Absent,300,Markus Kump,0,0,Heidi,2654272491,Hei2491
788,Manhattan,2024-07-14,48,30,Present,720,Clare Hakes,160,238,Cathryne,4386778599,Cat8599
789,Brooklyn,2024-07-07,33,39,Present,300,Mazie Mebane,37,109,Ally,6654159096,All9096
790,Manhattan,2024-06-23,50,47,Present,720,Celestine Metheny,226,323,Erica,2564100442,Eri0442
792,Brooklyn,2024-08-04,12,20,Present,144,Eneida Koeppel,5,37,Naimah,3512085890,Nai5890
793,Brooklyn,2024-08-24,13,11,Present,75,Ailene Eddleman,44,68,Gabrielle,6852458025,Gab8025
794,Manhattan,2024-08-24,52,126,Present,720,Cora Leeds,291,469,Vimal,2154743669,Vim3669
795,Brooklyn,2024-07-28,25,12,Present,720,Mirian Orman,103,140,Barbara,2913281898,Bar1898
796,Manhattan,2024-08-04,,,Absent,144,Rachel Rink,0,0,Tw,2405295175,Tw5175
797,Brooklyn,2024-07-28,,,Absent,720,Natalya Falgoust,0,0,Dan,49039031,Dan9031
798,Manhattan,2024-07-28,,,Absent,300,Garnett Calderone,0,0,Lydia,2301151993,Lyd1993
799,Brooklyn,2024-08-25,,,Absent,300,Dorethea Dudding,0,0,Dian,9833179532,Dia9532
800,Brooklyn,2024-08-25,3,7,Present,300,Jaimie Siemers,-2,8,Kate,9229071397,Kat1397
801,Brooklyn,2024-07-28,,,Absent,300,Milton Sabol,0,0,Diana,4478430544,Dia0544
802,Brooklyn,2024-08-25,82,58,Present,300,Betsey Gallman,50,190,Eliza,3843313508,Eli3508
803,Manhattan,2024-07-28,,,Absent,180,Molly Mckinzie,0,0,Luis,6829011855,Lui1855
804,Brooklyn,2024-07-14,59,60,Present,720,Carrol Harrelson,326,445,Elizabeth,8097428029,Eli8029
805,Brooklyn,2024-07-28,,,Absent,720,Dylan Mcbay,0,0,Oz,380412736,Oz2736
806,Manhattan,2024-07-14,,,Absent,180,Veta Fultz,0,0,Jose,339715323,Jos5323
807,Brooklyn,2024-07-14,33,28,Present,144,Mariette Whitten,11,72,Louisa,8315374875,Lou4875
808,Manhattan,2024-08-25,,,Absent,300,Xenia Parrales,0,0,Dara,5264975773,Dar5773
809,Manhattan,2024-07-28,,,Absent,720,Erwin Ohlinger,0,0,Jesper,1009380090,Jes0090
810,Manhattan,2024-06-30,16,13,Present,300,Zetta Haan,43,72,Eric,9945721529,Eri1529
812,Brooklyn,2024-08-24,,,Absent,720,Zachary Pitre,0,0,Erika,1066707212,Eri7212
813,Manhattan,2024-06-30,,,Absent,300,Stacy Andrzejewski,0,0,Karin,3507703621,Kar3621
814,Brooklyn,2024-07-14,,,Absent,180,Julie Heineman,0,0,Jameelah,9811142378,Jam2378
816,Brooklyn,2024-08-24,,,Absent,180,Deidra Hufford,0,0,Yvette,7933279611,Yve9611
817,Brooklyn,2024-08-04,,,Absent,198,Anisa Gordillo,0,0,Keow,3635300994,Keo0994
818,Brooklyn,2024-08-04,,,Absent,300,Luna Gleaton,0,0,Olly,2161894662,Oll4662
819,Brooklyn,2024-08-04,40,26,Present,300,Laci Pasko,15,81,Hibo,534847806,Hib7806
820,Brooklyn,2024-08-07,,,Absent,180,Julene Kohr,0,0,Paul & Ewa,2980635863,Pau5863
821,Manhattan,2024-08-07,,,Absent,180,Felicita Bemis,0,0,Jasmine,2464389496,Jas9496
822,Brooklyn,2024-08-07,,,Absent,180,Hollis Okeefe,0,0,Michael,7778336914,Mic6914
823,Manhattan,2024-08-07,,,Absent,180,Margherita Ceron,0,0,Max,7908012895,Max2895
824,Manhattan,2024-07-14,7,3,Present,180,Doyle Kegler,16,26,Elle,1438592868,Ell2868
825,Manhattan,2024-07-14,6,13,Present,180,Kris Zuniga,23,42,Geoff,2569482506,Geo2506
826,Queens,2024-07-14,4,6,Present,180,Ladawn Reitz,13,23,Ronaldo,642036955,Ron6955
827,Brooklyn,2024-07-14,,,Absent,720,Isaiah Frink,0,0,Pia,5158745594,Pia5594
828,Manhattan,2024-07-14,0,11,Present,144,Demetrius Meadow,14,25,Mikki & Bazi,9146831146,Mik1146
829,Manhattan,2024-07-21,89,121,Present,720,Markus Mcduffy,291,501,Philip,7048880404,Phi0404
830,Brooklyn,2024-08-25,,,Absent,300,Otelia Montoya,0,0,Rohan,2282367163,Roh7163
831,Queens,2024-08-25,72,53,Present,300,Florene Chartrand,49,174,Natalia,9898964577,Nat4577
832,Manhattan,2024-07-14,,,Absent,180,Olene Fink,0,0,Alejandra,7741260369,Ale0369
833,Manhattan,2024-07-14,,,Absent,180,Gerardo Mazurek,0,0,Hubert,7137743427,Hub3427
834,Brooklyn,2024-07-14,91,51,Present,720,Victor Brunswick,333,475,Urszula,1682545393,Urs5393
835,Brooklyn,2024-07-14,,,Absent,720,Sheilah Izaguirre,0,0,Svetlana,6292762122,Sve2122
836,Manhattan,2024-09-08,160,155,Present,720,Jenae Newbold,325,640,Sena,6404571361,Sen1361
837,Brooklyn,2024-07-28,63,89,Present,720,Jospeh Foushee,249,401,Olly,5044603592,Oll3592
838,Brooklyn,2024-07-28,,,Absent,720,Peggie Pankey,0,0,The Box House Hotel,5238140906,The0906
839,Queens,2024-08-11,,,Absent,720,Coralee Basel,0,0,Carmen,9804973502,Car3502
840,Brooklyn,2024-09-08,119,124,Present,720,Loraine Mcmillan,355,598,The Box House Hotel,6347837779,The7779
841,Manhattan,2024-07-28,,,Absent,720,Elidia Stutts,0,0,Irina,2261751202,Iri1202
842,Brooklyn,2024-08-11,,,Absent,720,Ria Atkins,0,0,The Box House Hotel,1822108671,The8671
843,Brooklyn,2024-08-25,,,Absent,300,Claudio Dibella,0,0,The Box House Hotel,3540532278,The2278
844,Brooklyn,2024-08-25,,,Absent,300,Vernell Millican,0,0,The Box House Hotel,3123938689,The8689
845,Brooklyn,2024-07-28,41,28,Present,300,Renato Carraway,55,124,Summer,7700015492,Sum5492
846,Brooklyn,2024-07-07,56,20,Present,300,Tajuana Rubalcaba,26,102,Pam,7267833324,Pam3324
847,Brooklyn,2024-07-07,40,40,Present,300,Shaquana Thiele,30,110,The Box House Hotel,9132007985,The7985
848,Brooklyn,2024-07-07,49,72,Present,300,Zane Applebee,59,180,Marissa,1243004141,Mar4141
849,Brooklyn,2024-06-09,9,10,Present,75,Terese Chace,16,35,Felicia,4290683257,Fel3257
850,Brooklyn,2024-06-23,12,13,Present,75,Ruben Albee,36,61,Ric,9441208099,Ric8099
851,Manhattan,2024-05-19,2,11,Present,300,Claretta Helmers,9,22,Alan,5657214037,Ala4037
852,Brooklyn,2024-06-30,70,49,Present,300,Dorris Chastain,40,159,Todd,5316681819,Tod1819
853,Queens,2024-06-30,,,Absent,300,Emerson Harriston,0,0,Weiwei,8933407403,Wei7403
854,Brooklyn,2024-06-30,,,Absent,300,Pricilla Shedd,0,0,Glenn,8522546881,Gle6881
855,Brooklyn,2024-06-30,,,Absent,300,Carie Murry,0,0,Jacques,6933608794,Jac8794
